 
Directory: /Users/pinkpant/Documents
File	Mouth Imp X	Y	Left Eye Imp X	Y	Right Eye Imp X	Y	Mouth Left Corner Imp X	Y	Right Eye Nasal Imp X	Y	Mouth Right Corner Imp X	Y	Right Eye Temporal Imp X	Y	Left Eye Temporal Imp X	Y	Left Eye Nasal Imp X	Y	Nose Imp X	Y	Mouth Left Corner X	Y	Mouth Right Corner X	Y	(AU 1) Inner Brow Raise	(AU 2) Outer Brow Raise	(AU 4) Brow Lower	(AU 5) Eye Widen	(AU 9) Nose Wrinkle	(AU 10) Lip Raise	(AU 12) Lip Corner Pull	(AU 14) Dimpler	(AU 15) Lip Corner Depressor	(AU 17) Chin Raise	(AU 20) Lip stretch	(AU 6) Cheek Raise	(AU 7) Lids Tight	(AU 18) Lip Pucker	(AU 23) Lip Tightener	(AU 24) Lip Presser	(AU 25) Lips Part	(AU 26) Jaw Drop	(AU 28) Lips Suck	(AU 45) Blink/Eye Closure	Fear Brow (1+2+4)	Distress Brow (1, 1+4)	AU 10 Left	AU 12 Left	AU 14 Left	AU 10 Right	AU 12 Right	AU 14 Right	Gender	Glasses	Yaw	Pitch	Roll	Smile Detector	Anger (v3)	Contempt (v3)	Disgust (v3)	Fear (v3)	Joy (v3)	Sad (v3)	Surprise (v3)	Neutral (v3)
21001.avi:1	290.337006	393.540009	336.998993	300.972992	245.195007	300.127991	NaN	NaN	262.815002	300.730988	NaN	NaN	227.574005	299.524994	354.645996	300.575012	319.351990	301.371002	289.294006	343.782990	323.726990	392.235992	254.119003	390.192993	-2.458330	-0.429939	-0.255374	-0.253075	0.087440	-0.150785	-1.351470	-0.096205	1.667727	-0.216053	1.534365	-0.360740	-0.103781	-0.042743	0.056961	-0.272877	0.475465	0.264791	-1.256380	-1.777747	-3.211099	-2.782293	-4.551760	-4.002718	-4.076374	-3.947694	-3.586612	-2.925547	-0.152164	-3.906059	2.796997	6.004889	-0.492853	-4.689213	0.001438	0.347728	0.000124	0.007162	0.000199	0.005338	0.011130	0.626880
21001.avi:2	290.337006	393.540009	336.998993	300.972992	245.195007	300.127991	NaN	NaN	262.815002	300.730988	NaN	NaN	227.574005	299.524994	354.645996	300.575012	319.351990	301.371002	289.294006	343.782990	323.726990	392.235992	254.119003	390.192993	-2.458330	-0.429939	-0.255374	-0.253075	0.087440	-0.150785	-1.351470	-0.096205	1.667727	-0.216053	1.534365	-0.360740	-0.103781	-0.042743	0.056961	-0.272877	0.475465	0.264791	-1.256380	-1.777747	-3.211099	-2.782293	-4.551760	-4.002718	-4.076374	-3.947694	-3.586612	-2.925547	-0.152164	-3.906059	2.796997	6.004889	-0.492853	-4.689213	0.001438	0.347728	0.000124	0.007162	0.000199	0.005338	0.011130	0.626880
21001.avi:3	289.764008	393.727997	337.084991	301.234009	245.162994	299.738007	NaN	NaN	262.846985	300.487000	NaN	NaN	227.477997	298.989990	354.799011	300.945007	319.371002	301.523987	288.959991	344.023987	323.257996	392.209991	252.755997	390.252991	-2.677725	-0.423443	-0.270076	-0.268319	0.092674	-0.149326	-1.271573	-0.086340	1.564814	-0.096929	1.655950	-0.356413	-0.127979	-0.039634	0.042839	-0.264977	0.560756	0.265770	-1.211763	-1.874704	-3.197860	-2.698326	-4.625961	-3.980141	-4.109695	-4.004756	-3.623472	-3.045991	-0.170118	-3.800067	2.651747	5.465963	0.556675	-4.920168	0.001452	0.374734	0.000149	0.006560	0.000227	0.003799	0.010386	0.602694
21001.avi:4	289.795013	393.630005	336.825012	301.468994	245.175995	300.173004	NaN	NaN	262.902008	300.890015	NaN	NaN	227.449005	299.455994	354.487000	301.140991	319.164001	301.799011	289.348999	343.881012	323.014008	392.332001	251.763000	391.027008	-2.621283	-0.388676	-0.283297	-0.236122	0.086123	-0.155863	-1.497672	0.010337	1.591672	-0.152825	1.639105	-0.371862	-0.130648	-0.041434	0.012313	-0.270829	0.501843	0.277594	-1.236272	-1.786238	-3.190173	-2.702441	-4.498805	-4.039191	-4.225773	-3.873589	-3.584154	-3.005469	-0.352189	-3.877008	2.904117	6.289785	0.411537	-5.515869	0.001436	0.389463	0.000118	0.007045	0.000172	0.003520	0.009871	0.588375
21001.avi:5	289.908997	394.076996	337.070007	301.380005	244.990005	300.170013	NaN	NaN	262.769989	300.872009	NaN	NaN	227.209000	299.467987	354.816010	301.024994	319.325012	301.735992	289.364014	344.290009	323.101013	392.635986	251.763000	391.027008	-2.555504	-0.425770	-0.257654	-0.295003	0.114511	-0.166302	-1.505943	-0.005875	1.557887	-0.014368	1.569821	-0.318337	-0.084209	-0.037961	0.135839	-0.257307	0.511696	0.276695	-1.170709	-1.703802	-3.214115	-2.733540	-4.515059	-4.041264	-4.128963	-3.934862	-3.663735	-3.016376	-0.461769	-3.938891	2.565394	6.056448	0.248789	-5.074118	0.001930	0.353237	0.000250	0.004768	0.000212	0.004198	0.009003	0.626402
21001.avi:6	289.968994	393.122009	336.933990	301.315002	245.382004	299.872986	NaN	NaN	262.996002	300.576996	NaN	NaN	227.768997	299.170013	354.567993	301.042999	319.299988	301.588989	289.007996	343.864014	323.084015	392.252991	255.363998	389.949005	-2.455774	-0.385680	-0.266070	-0.254612	0.104658	-0.159378	-1.330748	-0.240303	1.479167	-0.251480	1.449997	-0.296754	-0.124475	-0.033942	-0.039093	-0.270794	0.612199	0.287334	-1.179302	-1.831634	-3.217343	-2.795185	-4.599972	-3.998322	-4.054539	-3.943719	-3.631218	-3.177984	-0.215042	-3.653282	2.679644	5.713488	1.054879	-5.091208	0.001414	0.220614	0.000236	0.005254	0.000227	0.005276	0.021214	0.745765
21001.avi:7	290.085999	393.377014	337.088989	301.308990	245.233994	300.049988	NaN	NaN	262.928009	300.730011	NaN	NaN	227.539993	299.368988	354.782013	300.989990	319.397003	301.628998	289.420990	343.912994	322.839996	391.940002	252.893997	390.809998	-2.720917	-0.434257	-0.276890	-0.280252	0.101422	-0.173093	-1.421429	-0.068143	1.503808	0.151504	1.488740	-0.334145	-0.095529	-0.037998	0.110705	-0.248020	0.434381	0.220213	-1.175036	-1.771689	-3.204937	-2.740013	-4.581606	-3.998061	-4.087602	-3.936292	-3.649486	-3.046946	-0.329036	-3.744390	2.662922	6.302675	0.413907	-5.489236	0.002093	0.374821	0.000196	0.003518	0.000176	0.003312	0.006866	0.609017
21001.avi:8	290.170990	392.984009	336.848999	301.214996	245.399994	299.993011	NaN	NaN	262.968994	300.618988	NaN	NaN	227.830002	299.367004	354.450989	300.941010	319.247009	301.489014	289.075989	343.632996	323.345001	392.079010	256.102997	389.949005	-2.462946	-0.483692	-0.259787	-0.252210	0.096506	-0.144359	-1.292913	-0.234389	1.503791	-0.350678	1.552393	-0.259221	-0.106115	-0.032463	0.021107	-0.265696	0.638388	0.321161	-1.172422	-1.773794	-3.226869	-2.802120	-4.572097	-3.996058	-3.953418	-3.936837	-3.547089	-3.207057	-0.181183	-3.654435	2.728118	5.797959	0.734447	-4.831513	0.001546	0.230123	0.000198	0.006166	0.000292	0.005789	0.014954	0.740930
21001.avi:9	290.691010	393.959991	336.908997	301.216003	245.360001	300.391998	NaN	NaN	263.027008	301.053986	NaN	NaN	227.692001	299.730988	354.635010	300.726013	319.183014	301.707001	289.092987	344.338989	323.389008	391.687988	255.016006	390.992004	-2.286046	-0.402543	-0.271467	-0.274122	0.098762	-0.138913	-1.447137	-0.173208	1.436303	-0.164753	1.539142	-0.311713	-0.162325	-0.031870	0.017644	-0.262775	0.588270	0.236254	-1.213175	-1.731186	-3.251976	-2.846158	-4.560488	-3.986259	-4.056528	-3.851352	-3.630421	-3.182811	-0.532648	-3.896508	2.718266	6.070396	-0.211720	-4.985394	0.001426	0.221148	0.000228	0.006508	0.000237	0.006673	0.018156	0.745626
21001.avi:10	290.306000	393.415985	337.101990	301.326996	245.328003	300.140991	NaN	NaN	262.928009	300.739014	NaN	NaN	227.727005	299.541992	354.740997	301.053986	319.462006	301.601013	289.169006	343.384003	323.954010	392.339996	254.973007	390.122986	-2.185587	-0.411116	-0.256880	-0.299888	0.094286	-0.147490	-1.310355	-0.173609	1.526148	-0.096727	1.498272	-0.319552	-0.179034	-0.035639	0.014195	-0.266298	0.584101	0.239230	-1.202045	-1.741572	-3.210750	-2.804713	-4.580906	-3.983019	-4.023300	-3.872199	-3.580045	-3.099702	-0.166222	-3.727642	2.758624	6.257111	0.320965	-4.822797	0.001158	0.238050	0.000185	0.006741	0.000256	0.009507	0.021129	0.722974
21001.avi:11	290.285004	393.776001	337.269989	301.290009	245.337997	299.980011	NaN	NaN	263.036987	300.717987	NaN	NaN	227.639008	299.243011	354.960999	300.932007	319.578003	301.648010	289.571991	344.285004	323.317993	392.244995	253.893997	390.549011	-2.548508	-0.470999	-0.231515	-0.313373	0.104097	-0.150552	-1.387920	-0.061995	1.530415	0.099771	1.411446	-0.314657	-0.147738	-0.038155	0.117977	-0.266053	0.497785	0.241274	-1.125976	-1.660841	-3.209570	-2.786297	-4.548224	-4.030537	-4.093491	-3.949895	-3.687364	-3.059661	-0.339963	-3.798719	2.761034	5.974178	0.409610	-5.184054	0.002048	0.313157	0.000271	0.003126	0.000199	0.005662	0.010452	0.665084
21001.avi:12	290.682007	393.781006	337.024994	301.187988	245.268005	300.356995	NaN	NaN	262.910004	300.946991	NaN	NaN	227.626007	299.766998	354.684998	300.794006	319.364990	301.583008	289.518005	343.928986	323.502014	391.869995	255.270004	390.739990	-2.132655	-0.374326	-0.232734	-0.324962	0.096886	-0.157940	-1.305493	-0.071820	1.390481	-0.046380	1.548007	-0.301972	-0.151104	-0.029645	0.060987	-0.251945	0.480042	0.214807	-1.229554	-1.717662	-3.252552	-2.890717	-4.521390	-3.960323	-3.933528	-3.887454	-3.621395	-3.090055	-0.337282	-3.592685	2.904187	6.198415	0.097647	-5.260120	0.001716	0.249012	0.000205	0.006441	0.000259	0.008908	0.014039	0.719419
21001.avi:13	291.108002	394.270996	337.473999	301.321014	245.649994	300.436005	NaN	NaN	263.320007	301.079010	NaN	NaN	227.979004	299.791992	355.154999	300.885986	319.791992	301.756989	289.760986	344.096008	323.127991	392.036011	254.537994	391.122986	-2.228734	-0.425872	-0.219023	-0.308321	0.096846	-0.152309	-1.649827	-0.036593	1.483758	0.234227	1.564521	-0.322414	-0.164416	-0.036471	0.193275	-0.253155	0.476487	0.210506	-1.191484	-1.677676	-3.224199	-2.789863	-4.609387	-4.054687	-4.076871	-3.812730	-3.651019	-3.032473	-0.459714	-3.799167	2.832494	6.255794	-0.589077	-5.531215	0.002399	0.289726	0.000256	0.006806	0.000209	0.008901	0.011021	0.680683
21001.avi:14	290.643005	393.825012	337.291992	301.364990	245.863998	300.320007	NaN	NaN	263.459015	300.994995	NaN	NaN	228.268005	299.645996	354.881989	300.984985	319.701996	301.746002	289.739014	344.213013	323.101013	391.940002	254.675995	390.332001	-2.460926	-0.411680	-0.217753	-0.295174	0.096010	-0.152741	-1.531637	-0.121773	1.580575	0.020523	1.504997	-0.315139	-0.136814	-0.030595	0.081579	-0.254475	0.500376	0.282506	-1.207103	-1.693137	-3.227616	-2.804617	-4.569446	-4.026067	-4.079801	-3.784051	-3.582258	-3.111180	-0.323903	-3.634452	2.641626	6.040493	0.141121	-5.687150	0.002547	0.257125	0.000237	0.004498	0.000161	0.007644	0.010698	0.717091
21001.avi:15	290.884003	393.364990	337.328003	301.122986	245.845001	300.351990	NaN	NaN	263.437988	300.931000	NaN	NaN	228.251007	299.772003	354.934998	300.713013	319.720001	301.533997	289.687012	343.936005	323.031006	392.627991	255.684006	389.454010	-2.235763	-0.376589	-0.233927	-0.285921	0.097878	-0.156933	-1.556870	-0.185736	1.538936	-0.040014	1.604157	-0.317704	-0.158836	-0.033472	0.110295	-0.261273	0.579573	0.314040	-1.232824	-1.696406	-3.246487	-2.806644	-4.572381	-4.002966	-4.004495	-3.752192	-3.584979	-3.199545	-0.226157	-3.558262	2.976457	6.184487	-0.828267	-5.289975	0.001788	0.227684	0.000211	0.008177	0.000214	0.008864	0.018402	0.734660
21001.avi:16	290.660004	393.765991	337.335999	301.742004	246.052994	300.303009	NaN	NaN	263.584015	301.049988	NaN	NaN	228.520004	299.557007	354.881989	301.425995	319.790009	302.058014	289.765991	344.260010	323.432007	392.122986	254.363998	390.036011	-2.442914	-0.443501	-0.202687	-0.298085	0.097772	-0.155580	-1.557869	-0.064676	1.599167	-0.151844	1.528876	-0.306163	-0.160818	-0.029729	0.037821	-0.253656	0.520968	0.220346	-1.132656	-1.711980	-3.236783	-2.807654	-4.572717	-3.953640	-3.982390	-3.843190	-3.598156	-3.216431	-0.219672	-3.608955	2.922898	5.698159	0.563960	-5.687028	0.002423	0.244651	0.000235	0.004829	0.000166	0.008620	0.010060	0.729016
21001.avi:17	290.932007	393.763000	337.514008	301.171997	245.910995	300.199005	NaN	NaN	263.524994	300.851990	NaN	NaN	228.296997	299.545990	355.166992	300.779999	319.859985	301.563995	289.526001	344.471985	323.954010	392.252991	256.407990	390.165985	-2.023670	-0.368865	-0.200553	-0.250582	0.111166	-0.116850	-1.568288	-0.219958	1.587844	0.017282	1.627419	-0.282489	-0.122531	-0.030272	0.091140	-0.252654	0.583026	0.206326	-1.220759	-1.684296	-3.239975	-2.835209	-4.548907	-3.965669	-3.848693	-3.776952	-3.610164	-3.098492	-0.011457	-3.245320	3.184336	6.057790	-0.012126	-4.674369	0.002254	0.180631	0.000451	0.014151	0.000279	0.014675	0.018729	0.768830
21001.avi:18	290.829987	394.528015	337.602997	301.319000	245.830002	300.173004	NaN	NaN	263.523987	300.838013	NaN	NaN	228.134995	299.507996	355.290009	300.967010	319.915985	301.670013	289.691986	344.351990	324.449005	392.114014	254.720001	390.852997	-2.121019	-0.340514	-0.196841	-0.241649	0.114184	-0.151365	-1.499418	-0.247011	1.546549	-0.037235	1.562178	-0.289839	-0.144626	-0.035842	0.133385	-0.256330	0.644178	0.272981	-1.182044	-1.745445	-3.241227	-2.815500	-4.586725	-3.943367	-3.871921	-3.860662	-3.625647	-3.139901	-0.227811	-3.560815	2.944209	5.920137	0.586429	-5.195910	0.002239	0.184452	0.000374	0.012447	0.000271	0.010985	0.028780	0.760451
21001.avi:19	290.850006	393.678986	337.488007	301.451996	245.998001	300.282013	NaN	NaN	263.622986	300.934998	NaN	NaN	228.373001	299.627991	355.084991	301.136993	319.890991	301.766998	290.080994	344.230988	323.536011	392.809998	254.589996	390.592987	-2.224949	-0.366640	-0.203748	-0.267525	0.106400	-0.158674	-1.629793	-0.181464	1.549172	-0.208949	1.573882	-0.314131	-0.167797	-0.034423	0.014801	-0.265704	0.597114	0.207592	-1.172685	-1.801765	-3.210675	-2.779630	-4.585471	-3.950850	-3.972339	-3.821138	-3.595871	-3.163687	-0.156989	-3.703186	2.823737	5.894571	0.317759	-5.373033	0.001879	0.198093	0.000283	0.010059	0.000202	0.009830	0.020914	0.758740
21001.avi:20	290.834991	394.143005	337.497986	301.382996	245.792007	300.149994	NaN	NaN	263.502991	300.792999	NaN	NaN	228.080002	299.506989	355.114014	301.095001	319.882996	301.673004	290.355011	344.222992	323.588989	392.609009	254.225998	390.826996	-2.208073	-0.346770	-0.202067	-0.258420	0.114895	-0.148183	-1.402224	-0.241930	1.477880	-0.136238	1.505059	-0.279361	-0.132946	-0.037363	0.104809	-0.256495	0.570443	0.264417	-1.147669	-1.761732	-3.211714	-2.793386	-4.580485	-4.011727	-3.960407	-3.829821	-3.605185	-3.085945	-0.181153	-3.430455	3.174050	6.272832	0.432035	-5.203395	0.002135	0.194561	0.000364	0.008584	0.000289	0.008070	0.021974	0.764023
21001.avi:21	290.692993	393.829987	337.408997	301.915009	246.276001	300.316010	NaN	NaN	263.848999	301.065002	NaN	NaN	228.701996	299.566010	354.921997	301.653992	319.895996	302.175995	290.000000	344.313995	322.605988	392.601013	255.582001	391.209991	-2.579617	-0.399226	-0.227360	-0.242582	0.099789	-0.156331	-1.533654	-0.156594	1.498716	-0.287613	1.660437	-0.319020	-0.153199	-0.033237	-0.025264	-0.274100	0.574713	0.264093	-1.082062	-1.763438	-3.224152	-2.781952	-4.610642	-3.953094	-4.045378	-3.795948	-3.583437	-3.195430	-0.040138	-3.604476	3.133288	5.833605	1.072502	-5.617476	0.001862	0.235511	0.000239	0.006983	0.000195	0.004911	0.012581	0.737718
21001.avi:7960	275.316010	431.665009	321.162994	335.177002	225.311996	336.446991	NaN	NaN	243.576004	336.638000	NaN	NaN	207.048004	336.256012	339.597992	334.415009	302.729004	335.940002	271.255005	385.268005	315.901001	421.821991	238.065994	425.518005	-0.786384	-0.320343	-0.020652	-0.593142	0.139011	0.228957	-0.190242	1.803747	1.431756	1.247196	0.921400	0.114645	0.063845	0.009102	1.395391	-0.043891	0.221705	0.076121	-0.576775	0.154432	-2.996938	-2.932802	-3.615613	-3.461564	-2.483827	-3.783139	-3.791873	-3.658454	0.073928	-3.623752	2.563408	-2.618539	-3.182559	-2.381601	0.054513	0.446330	0.017387	0.000197	0.004542	0.032070	0.000490	0.444471
21001.avi:7961	275.138000	431.128998	321.302002	334.498993	225.046997	335.660004	NaN	NaN	243.376007	335.828003	NaN	NaN	206.716995	335.492004	339.765991	333.778015	302.838989	335.221008	271.252014	383.852997	315.717010	421.588013	238.602997	425.239990	-0.900062	-0.272870	-0.017537	-0.558903	0.135924	0.187800	-0.110186	1.746632	1.521144	1.258512	1.018004	0.150837	0.113187	0.006828	1.402179	-0.031934	0.285068	0.258543	-0.522152	0.105737	-2.974189	-2.887749	-3.633720	-3.507982	-2.373649	-3.853067	-3.829858	-3.783884	0.012644	-3.152935	2.234962	-2.381578	-3.656895	-2.295052	0.049557	0.497770	0.011314	0.000266	0.005622	0.027565	0.000555	0.407351
21001.avi:7962	274.967010	430.378998	321.342987	334.485992	225.169998	335.434998	NaN	NaN	243.408997	335.687012	NaN	NaN	206.929993	335.182007	339.817993	333.746002	302.868011	335.226990	270.752991	383.304993	315.778015	421.841003	239.306000	425.231995	-0.859909	-0.271301	-0.012637	-0.554922	0.128806	0.195059	-0.272990	1.754009	1.490343	1.096364	1.050472	0.132136	0.060236	0.008279	1.376890	-0.035025	0.412225	0.138656	-0.540355	0.045477	-2.987957	-2.858175	-3.708849	-3.491408	-2.467225	-3.887745	-3.792218	-3.721813	-0.067074	-3.382721	2.255805	-2.238025	-3.584080	-2.625268	0.054031	0.450629	0.012173	0.000398	0.005327	0.032209	0.000804	0.444430
21001.avi:7963	275.033997	430.752991	320.760010	334.434998	224.837997	335.544006	NaN	NaN	243.154999	335.751007	NaN	NaN	206.520996	335.335999	339.201996	333.695007	302.317993	335.174988	271.348999	384.216003	314.770996	421.386993	236.804993	425.083008	-0.831566	-0.269111	-0.050117	-0.535781	0.128281	0.174417	-0.340635	1.600054	1.425395	1.199520	1.069572	0.079583	0.080951	0.003911	1.296692	-0.055799	0.261481	0.188839	-0.544775	0.156848	-2.998206	-2.857393	-3.684206	-3.520076	-2.521676	-3.856907	-3.764411	-3.665808	-0.269717	-3.273190	2.424536	-2.694449	-3.752062	-2.305355	0.034707	0.454913	0.009701	0.000400	0.004420	0.026703	0.000749	0.468408
