	A1	A2	A4	A5	A6	A7	A9	A10R	A10L	A12R	A12L	A14R	A14L	A15	A17	A20	A23	A24	A25	A26	A28
A1	1																				
A2	1	1																			
A4	0	0	1																		
A5	1	1	0	1																	
A6	0	0	0	0	1																
A7	0	0	0	0	0	1															
A9	0	0	0	0	0	0	1														
A10R	0	0	0	0	0	0	0	1													
A10L	0	0	0	0	0	0	0	0	1												
A12R	0	0	0	0	0	0	0	0	0	1											
A12L	0	0	0	0	0	0	0	0	0	0	1										
A14R	0	0	0	0	0	0	0	0	0	0	0	1									
A14L	0	0	0	0	0	0	0	0	0	0	0	0	1								
A15	0	0	0	0	0	0	0	0	0	0	0	0	0	1							
A17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1						
A20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1					
A23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1				
A24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1			
A25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1		
A26	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
A28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
